2019,25-05-2019,"III","white","St. Gregory VII Pope and Confessor, III class","Com. of St. Urban I Pope and Martyr."
2019,26-05-2019,"II","white","5th Sunday after Easter",""
2019,27-05-2019,"II","violet","Minor Rogation",""
2019,28-05-2019,"II","violet","Minor Rogation",""
2019,29-05-2019,"II","violet","Minor Rogation","Vigil of the Ascension"
2019,30-05-2019,"I","white","Ascension of the Lord",""
2019,31-05-2019,"II","white","Blessed Virgin Mary, Queen, II class","Com. of St. Petronilla Virgin."
2019,01-06-2019,"III","white","St. Angela Merici Virgin, III class.",""
2019,02-06-2019,"II","white","Sunday after the Ascension of the Lord",""
2019,03-06-2019,"IV","white","Feria of Paschaltide",""
2019,04-06-2019,"III","white","St. Francis Caracciolo Confessor, III class.",""
2019,05-06-2019,"III","red","St. Boniface Bishop and Martyr, III class.",""
2019,06-06-2019,"III","white","St. Norbert Bishop and Confessor, III class.",""
2019,07-06-2019,"IV","white","Feria of Paschaltide",""
2019,08-06-2019,"I","red","Vigil Mass of Pentecost",""
2019,09-06-2019,"I","red","Pentecost Sunday",""
2019,10-06-2019,"I","red","Pentecost Monday",""
2019,11-06-2019,"I","red","Pentecost Tuesday",""
2019,12-06-2019,"I","red","Ember Wednesday of Pentecost",""
2019,13-06-2019,"I","red","Thursday in Pentecost Week",""
2019,14-06-2019,"I","red","Ember Friday of Pentecost",""
2019,15-06-2019,"I","red","Ember Saturday of Pentecost",""
2019,16-06-2019,"I","white","Trinity Sunday",""
2019,17-06-2019,"III","white","St. Gregory Barbarigo Bishop and Confessor, III class.",""
2019,18-06-2019,"III","white","St. Ephraem Syrus Deacon, Confessor, and Doctor of the Church, III class","Com. of Ss. Mark and Marcellianus Martyrs."
2019,19-06-2019,"III","white","St. Juliana Falconieri Virgin, III class","Com. of Ss. Gervase and Protase Martyrs."
2019,20-06-2019,"I","green","Corpus Christi",""
2019,21-06-2019,"III","white","St. Aloysius Gonzaga Confessor, III class.",""
2019,22-06-2019,"III","white","St. Paulinus Bishop and Confessor, III class",""
2019,23-06-2019,"II","white","2nd Sunday After Pentecost","Vigil, II class."
2019,24-06-2019,"I","white","On the Nativity of St. John the Baptist, I class.",""
2019,25-06-2019,"III","white","St. William Abbot, III class.",""
2019,26-06-2019,"III","red","Ss. John and Paul Martyrs, III class.",""
2019,27-06-2019,"IV","green","Feria",""
2019,28-06-2019,"I","green","The Most Sacred Heart of Jesus",""
2019,29-06-2019,"I","red","Ss. Peter and Paul Apostles, I class.",""
2019,30-06-2019,"II","green","3rd Sunday After Pentecost",""
2019,01-07-2019,"I","white","The Most Precious Blood of our Lord Jesus Christ, I class.",""
2019,02-07-2019,"II","white","On the Visitation of the Blessed Virgin Mary, II class","Com. of Ss. Processus and Martinian Martyrs."
